request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"Pay IDR 15,656,000 today. This leaves at least IDR 24,768,300 available over the next 90 days."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-08-15. None of the available options keeps the EUR 1,100 minimum protected."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"Pay ZAR 51,524 today. This leaves at least ZAR 28,300 available over the next 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,2894443.04,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,"Pay IDR 18,164,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 16,588,900 minimum."
request_32,14175.20,affordable_later,wait,2025-04-15:40018,2025-04-15,none,"Pay ZAR 40,018 in full on 2025-04-15. Paying earlier would take the balance below the ZAR 35,700 minimum."
request_33,27054.29,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 2026-03-15. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,25070.02,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 2026-01-15. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,615.13,affordable_later,wait,2026-09-15:3954,2026-09-15,none,"Pay USD 3,954 in full on 2026-09-15. Paying earlier would take the balance below the USD 2,400 minimum."
request_37,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-05-15. None of the available options keeps the IDR 17,056,200 minimum protected."
request_38,182.82,affordable_later,wait,2025-10-15:971.30,2025-10-15,none,Pay EUR 971.30 in full on 2025-10-15. Paying earlier would take the balance below the EUR 400 minimum.
request_39,50841.31,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 2026-06-15. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,332.46,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,290.30 request. Although EUR 332.46 is available today, the full amount cannot be completed safely within 90 days."
request_41,9015006.51,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Pay IDR 38,760,000 in full on 2026-01-15. Paying earlier would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 today. This leaves at least INR 113,100 available over the next 90 days."
request_43,8443757.75,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,"Pay IDR 43,339,000 in full on 2024-11-15. Paying earlier would take the balance below the IDR 21,398,000 minimum."
request_44,37186.61,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 2025-04-15. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,3614476.62,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,983,000 request. Although IDR 3,614,476.62 is available today, the full amount cannot be completed safely within 90 days."
request_46,36858.40,affordable_with_plan,partial_payment,2024-12-03:36858.40|2024-12-15:12591.60,2024-12-15,none,"Pay INR 36,858.40 today and the remaining INR 12,591.60 on 2024-12-15. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 today. This leaves at least IDR 30,049,000 available over the next 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,11974188.05,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 34,333,000 request. Although IDR 11,974,188.05 is available today, the full amount cannot be completed safely within 90 days."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 today. This leaves at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 today. This leaves at least IDR 7,811,000 available over the next 90 days."
request_52,18701.97,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,477.89,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2,100 available."
request_54,2064.79,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 2,064.79 is available today, the full amount cannot be completed safely within 90 days."
request_55,125909.04,not_affordable,not_recommended,none,2026-08-15,none,"Do not proceed with the INR 218,600 request. Although INR 125,909.04 is available today, the full amount cannot be completed safely within 90 days."
request_56,623.64,affordable_with_plan,partial_payment,2025-02-03:623.64|2025-02-15:257.92,2025-02-15,none,"Pay USD 623.64 today and the remaining USD 257.92 on 2025-02-15. This completes the full request and keeps the USD 2,100 minimum protected."
